questions,answers
asking about variety of capsicum.,"given in details regarding the variety like-elephant trunk,california wonder,arka gourav etc."
query  regarding oestrous of a cow,use anthalmintic prior to inseminate intamox 2.5 mg i/ m ly with dexona as directed    give b complex injection every on alternate day observe the heat symptom & inseminate at proper time
asking about variety of pumpkin,recommended to used variety arka suryamukhi or arka chandan
asking for cultural practices,explain in details
aphids in marigold,advised to spray malathion 50 ec @ 2 ml/ litre water
asking about fruit borer of brinjal,advice to apply fluton @ 1 ml / litre
asking about the control of fruit rot disease in brinjal,suggested him to spray saaf@ 2gm/liter of water
asking about the nutrient management of papaya,suggested him to spray tracel 2 @ 2gm/l of water
"asking about control measure of fruit fly in pumpkin

","spray dimethoate @ 2 ml per lit of water, 3 sprays at 4 days interval"
asking about the recommended fertilizer dose for potato,"suggested that recommended fertilizer dose is like-urea@19 kilogram/bigha,ssp@45 kilogram/bigha,mop@12 kilogram/bigha,fym@2 quintal/bigha.half dose of urea and full doses of ssp and mop, fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting"
damping off problem in tomato,soil drenching with bavistin @ 1gm/litre of water
query regarding poultry.,"vaccine: f1, ibd, r2b. medicine: tettracyclin powder, vimeral."
control measure of low dissolve oxygen,flash the water (preferably swimming) or you can apply oxyflow tab 2 no's.
query about vaccination schedule of local chicken,explain in details about the diseases and vaccines
agri,transfered
asking about the facilities of kcc,"told him to ask any questions related to agriculture, veterinary and fishary"
asking for the control meausre against fruit rot in chilli crop cultivation.,bavistin solution @ 1.5 milli litres per litre of water has been suggested to spray.
asking about varieties of tomato,"arka rakshak is recommended. spray dimethoate 50 ec @ 2ml/l water, 3 spray at 3 days interval."
query regarding pm kisan.,"status: stopped by state on request of district. visit bank, dist. agri. office."
asking for top dressing at the time of panicle initiation,recommended him 4 kg urea and 2 kg mop per bigha
cultural practices of ridge gourd,explained in details
registration number,given his registration number as asm_6769660
query regarding pmkisan.,"8th installment payment stoped by state on request of districts. so, please visit your nearest agriculture office for further enquiry. correction is pending at state. "
asking about the micro nutrient use in papaya,suggested him to spray multiplex mahaphal @ 2ml/liter of water
asking about the control measure of pest of cucumber,recommended to apply tricel 20 ec @ 2ml/litre of water
asking about the composite fish cultivation.,explain in detail.
agri. related query.,trasfer to agri. expert.
asking about tea garden related problem,forwarded to expert
asking about the control measure against ganoderma disease in coconut.,advised him to dig out a pit of 30 deep around 1 metre away from the base of the plant. spray captan @ 2 gm./per plant in that pit . and apply sulphur powder @ 1.5-2 kg in that pit .
asking about the cultural practice of arize 6444 variety,explained in details
query regarding kcc loan for fishery,adviced to contact to nearest nationalize bank
asking about the source of information of duck breed.,"suggested to contact the farm manager, sird, khanapara."
asking about varieties of capsicum,recommended varieties like california wonder/elephnt trunk.
asking fertiliser dose of cabbage,"suggested him to apply urea @ 24kg, ssp @ 45kg and mop @ 13kg/bigha. also apply borax @ 2kg/bigha and malathion 5%dust 2kg/bigha. for propylactic measure spray indofil m-45 @ 2gm/lit of water at 10days after transplanting."
asking about the some varieties name of curry leaf,explain in details
asking about the recommended fertilizer dose for chilli.,"suggested about the recommended fertilizer dose like-urea@30 kilogram/bigha,ssp@50 kilogram/bigha,mop@13 kilogram/bigha,fym@2 quintal/bigha. half dose of urea and full doses of ssp and mop, fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting."
asking about the marigold cultivation practices,explain in details
asking about fungal infection in chili,recommended to spray bavistin @ 2gm/l water at 5 days interval
asking about the fertilizer  dose for coconut,suggest him the recomanded fertilizer dose for  coconut tree
asking about the control measure against stem borer infestation in paddy,advised him to spray chlorpyriphos or monocrotophos @ 1 ml./litre of water.
asking about crop loan,told him to contact nationalized bank
asking about the blight in potato spray ridomil gold and indofil m 45 @ 2gm/liter of water in 5 days alternate intervals,spray ridomil gold and indofil m 45 @ 2gm/liter of water in 5 days alternate intervals
query regarding soil testing.,"advise to contact kvk or rars, lakhimpur."
query regarding management of stem rot.,advise to spray captan @ 2g/lt of water.
"asking about fertilizer dose 
","apply urea @13kg , dap @12 kg and mop@9 kg per bigha of land.

after 30-50 days of sowing top dress urea @5kg per bigha
apply mop@3 kg per bigha after 30 days of sowing and another 3 kg after 60 days of sowing."
asking about the cultural practices of mustard .,"advised him to select varieties like ts-29, ts-36, ts-38, ts-46 , varuna etc.apply urea 6 kg per bigha after 30 days of sowing of seeds.again top dress urea 6 kg per bigha after 30 days of sowing."
asking about the control measure to control leaf curl disease in chilli,suggested to spray rogor 35ec@2mililliter/liter of water followed by waiting period for 5-7days
asking about control of blight in potato,advice to apply indofil m45 @ 2gm/l of water
asking for fert dose of onion,"recommended him to apply 12 kg urea, 15 kg dap and 11 kg mop per bigha"
asking about the flower drop in ridge gouurd,apply tracel-2 and aminose @ 2ml/litres of water
asking about the sowing time of bottlegourd,suggest him to sow in the month of june-july
call related to agriculture,the weather become cloudy  the rangr of rainfall is predicted in between 8- 40 mm
query regarding cabbage cultivation,expalined details
control measure of rice stem borer,spray ‘classic 20’ @ 2 ml per litre of water
problem of red pulm weevil in coconut.,advised him to apply rogor 35 ec @ 2 ml / liter of water.
asking about the paddy cultivation practices,explain in details
vetenery  related query,forwarded to expert
asking about aphid infestation on chilli,advice to apply indofill m 45 @ 2 gm / litre
asking about pm kisan samman nidhi yojana ,visit to district agriculture office
feeding practice of fry,explained in detail
asking about the varieties of hybrid rice to cultivate under sri method of rice cultivation.,suggested mr gogoi to take arize-6444 as the variety of hybrid rice to cultivate under sri method of rice cultivation.
asking about trearment of worm infestation of a puppy.,suggested him to administer panacur bolus @50mg per kg body.repeat same dose after 10 days.
"asking about the fertilizer dose for coconut tree 
( 5 years old)","advised him to apply urea @ 1 kg, ssp 2.5 kg, mop 700 gm, borax 50 gm per plant. divide the amount into two parts and apply during march/april and october/november in ring method"
asking about the variety of boro rice,explain details
asking about control of coconut leaf blight ,recommended him to apply  bordeux mixture @ 10g/lit of water spray twice at  15 days interval or spray carbendazim @ 2g/lit of water spray twice at 5 days interval
asking about the control of fruit fly in cow pea,advised to spray nurocombi @  1.5 ml / litre of water
asking about control measure of rottening of fruits,suggested to spray aithain  m-45 @ 2gm/lit.
asking about sowing time of brinjal,suggested time- first week of september to october
asking about the potato sotarage method,suggest him to sotored potato mi with malathion 5% dust @ 100 gram per quintal of potato
asking about bacterial wilt of tomato,advice to apply streptocycline @ 1 gm /  10 litre
regarding availability of good qwality seed of paddy,"contact with nearest deptt. of agriculture, kvk opr any govt. approved seed dealer"
asking about disease attack,recomended to spray malathion 50 ec @ 2ml/l water
asking about the control measure to control late blight disease in tomato.,suggested to apply dithane m-45@2gram/litre of water.
asking about the disease in ridge gourd.,transfer to agri. expert.
asking about blockage of urination in goat.,suggested to contact with nearest veterinarian .
aksed about the fish ratio's in 3 species in composite fish culture.,"given as catla= 40%, rohu= 30% and mrigal= 30% in 3 species  composite fish culture."
askimg about the insect infestation in rice,suggest him to apply tricel 20 @2ml/lt of water
asking about pm kisan samman nidhi yojona,"--visit common service centre with aadhaar card, pan card, bank passbook and land record (khajana receipt) for registration "
asking about spacing and time of planting of arecanut.,suggested to make a trap for rodent. to make the trap take banana (senichampa) and make some hokes in it and fill the holes with dry cement and place it in the corridor of the rodent. another trap can be make by soaking maize in urea solution for 1 hour and put the maize in the corridor of rodent
asking about the control measure of gandhi bug on paddy,suggested him to spray malathion @2ml/lit of water
asking about the control measure of red spider mite attack in tea garden.,suggested to spray mastamite @ 200 ml / 400 litres of water.
query regarding ginger cultivation,place the ginger 1- 2 inch below from the surface of soil
asking about the control-measure of tympany in goat of about 4 months old,"advice to administer afanil @ 10 ml once daily for 2-3 days,also administer floraboost bolus @1/4th of the bolus 2 times daily for 2-3 days"
asking about the micro nutrient use in papaya,suggested him to spray mahaphal @ 2ml/liter of water
asking about rice stem borer problem.,suggested to spray chlorpyriphos 20ec @ 3ml/litre of water.
"query regarding borax application in cauliflower
",spray borax either as basal application or at 30 days after transplanting
asking about weedicides for fallen land to be cultivated rice,suggested to apply glycel @ 2ml/litre of water
asking about the fertilizer doses in chillis,"told him to apply 8kg urea , 12 kg dap , 13 kg mop / bigha"
asking about the papaya hybrid varieties,"hybrid varieties of papaya = f1 aroma, f1 red winner, f1 taiwan princess, red lady etc"
asking about production technology of mushroom,told him to apply furadan 3g @ 3 kg per bigha of land to control ant
regarding fungal disease precaution in chilli,drench the soil properly with blitox 50 @ 2gm/litre water
asking bout pm kisan samman nidhi yojana ,contact district agriculture office
adking about the control of leaf curl disease in citrus,suggested him to spray malathion 50 ec @ 2ml/liter of water
asking about the fertilizer dose in radish,"suggested him 15 kg urea,40 kg ssp ,22 kg mop/bigha
hhalf of urea and full doses of ssp and mop applied as basal and remaining half of urea applied as top dressed after 30 days of transplanting"
asking about the control measure for late blight in potato.,recommended to spray ridomil gold @ 32 gram/16 lit water or tata master @ 32 gram/16 lit water at both the sides of leaves.
asking about the control measure for downy mildew in bottle gourd,recommended to spray saaf 2 gram/lit water
asking about to controll black rot in cauliflower.,suggested him to apply streptomycine @ 2 to 3gm/liter of water.
asking about the integrated poultry cum fish farming,explain in detail
control measure of fruit borer of bottle gourd,spray ‘malathion 50 ec’ @ 2 ml per litre of water
asked about carp culture,explained
asking about the control of blight in tomato,suggest him to apply ridomil gold @ 2gm/litre of water.
asking about the control measure for stem borer,recommended to spray rocket @ 2 ml/lit water.
asking about training on pig farming.,suggested to contact with nearest krishi vigyan kendra for training on pig farming.
asking about control of stem borer in paddy,adviced to apply dursban @ 3 ml per liter of water
asking about the control measure against pumpkin beetle infestation in ridge gourd.,advised him to spray malathion 50 ec @ 2 ml./litre of water and mix 10 gm gur to it.
asking about aphid problem in chillies,suggested to spray rogor @ 2ml per litre of water
asking about the remedy against the wilting symptom observed after spraying of planofix hormone in cucumber.,advised to spray plain water 3-4 times for the recovery.
asking about pm kisan installment.,3rd installment payment stoped by state on request of districts
asking about the fish cultivation practices,explain in details
asking about the cultivation practice of ridge gourd .,explained in details.
asked about carp culture,apply lime @7kg per biggha and urea and ssp@ 3kg per bigha
pest attack in bhut jolokia,rogor @ 2ml/lit
asking about aphids problem,advice to spray rogor @ 2 ml/l water
asking about the control measure against leaf rot in cowpea.,advised him to spray bavistin @ 2 gm./litre of water.
asking about the micronutrient used in pea,"suggest him to apply tracel 2 @ 2gm/lt of water,or mahaphal @ 2ml/lt of water."
asking about varities of tomatoo,"recommended punjab suhara,pusarubi,arka ava,arka alok,punjab kesri"
"query regarding duck farming: he wants to start duck farm over his fishery.
",reply: 30-35 no.s of duck can be reared over a fishery of 1 bigha land. after rearing proper medication and vaccination should be done.
regarding tractor,advised to talk to ado
asking about the variety name of chillies,"suggested him to use krishna, balijuri, sujyamukhi"
asking about pm kisan installment ,all installment is clear and up to date.
asking about application of nutrients.,"apply npk 19 all@5gm/l water, mahaphal or crop booster @2gm/l water during flowering at 7 days intervals."
asking about the cultivation practices of spinach,given in details
asking about fertilizer dose of potato.,"suggested him to aplly 19 kg urea,45 kg ssp,12 kg mop and 2qtl compost."
asking about the micro nutrient use in tomato,suggested him to spray multiplex mahaphal @ 2ml/liter of water
query regarding fertilizer dose of pea,advised to apply urea-ssp-mop @ 4-40-2 kg/bigha
disease of pumpkin,transfered to expert
asking about anthracnose problem in chilli,suggested to spray captaf @ 3gm/litre of water
asking about the control measure of fruit rot disease in bottle gourd,suggested to apply carbendazim @ 2 gram / litre of water.
micronutrient for bhindi,spray tracel2 2gm/litre of water
asking about brown spot disease,advice to seed treatment with captaf @ 2.5 gm/kg seeds
asking about shoot bore problem in brinjal,suggested to spray decis @ 2ml/litre of water
asking about the control measure to control immature fruit drop problem in coconut at the age of 5 years,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk"
query regarding control mesures of leaf eating caterpilar in paddy,recommended to spray durshban @ 2ml per litr of water
asking about the amount of  doses of npk in vegetables,told him to spray npk 10 gm / 1 l of water
asking about the fertiliser dose of rose,"advice to give cowdung @ 2 kg, urea@ 10 gram, and after flower bud give ssp @ 20 gram and mop @ 10 gram"
asking about planting procedure of banana,explained in detail
asking control measure of fruit borer in brinjal,spray superkiller(cypermethrin 25 ec)  @ 1.5 ml per litre of water
asking about the nutrient management in rice,told him to spray tracel 2 @ 2gm / l of water
query regarding  a cow showing the signs og tympanitis  , told him to give ginger 200 g orally . afanil - 60 ml orally & activated charcoal powder - 15-20 g orally 
enquired about the control measures of shoot borer/ fruit borer in brinjal,suggested to apply thinmate / furadon/ foret @ 2gm per plant after 20 days of transplanting
query regarding infection in local chicken,tetracycline 5gm / lits of water
query regarding control measures of blight in potato,recommended to spary redomil gold @ 2 ml per litr of water
want to know about fertilizer requirment in black gram,adviced to apply urea 5 kg and 30 kg ssp per bigha
asking for use of micronutrients,recommended him to spray tracel -2 @ 2 gram per litre of water
query regarding procurement of paddy by fci.,please visit your nearest agriculture office for further enquiry. 
"asking about the fertilizer dose of banana
","apply urea @ 110 gm/plant ,ssp @ 33 gm/plant and mop @ 330 gm/plant.
spacing- 1m x 1m x 2m"
query regarding late blight of potato,advised to apply ridomil gold @ 2gm/lit
query regarding blite in tomato,advice him to spray ridomil gold @ 2gm/litres of water
facing problem of blast disease in paddy,adviced to apply saaf @ 2 gm per liter of water
asking about the disease management,explained in details
problem of fruit borer in ridge gourd.,advised him to apply malathion 50 ec @ 2 ml / liter of water.
query regarding onion cultivation,explained details
"asking about pm kisan  samman nidhi 
",--go to nearest block for further details
asking about the potato nutirent management,explain in details
asking about tea problem,transfer to tea expert
"asking about nutrient management, soil treatment of potato field
","apply 19 kg urea, 45 kg ssp and 12 kg mop per bigha 
treat the soil with malathion 5 % dust @ 3 kg per bigha"
asking some bio-activator for cabbage,spray vipul liquid @ 2 ml per litre of water
asking about treatment of worms infestation in goat.,suggested to administer panacur 150 mg tab @1 tab/30 kg body weight.along with that administer liv -52 vet @10 ml twice daily.
query regarding pest control in citrus,suggested rogor @ 2ml per litr of water
query about fertilization of paddy.,advised to apply recomanded dose fertilizer for paddy.
"asking about pm kisan samman nidhi yojona
",visit common service centre to link your aadhar to your account 
query regarding antracnose of capsicum,advised to apply blue copper for antracnose disease in capsicum
asking about some late variety of sali rice that can be grown in the month of september.,"suggested to grow variety like-culture-1,sonamukhi,hira etc."
asking about the control of shootborer infestation in citrus,suggest him to apply decis 2.8 @ 1ml/litre of water.
asking about the control measure of aphid in tomato,suggested him to spray rogor @2ml/lit of water
asking about the nutrient management in garlic,suggested him to spray tracel @2gm/lit of water
asking about oxygen deficiency in fish pond,"recommended that swimming and pumping water,oxypro can apply"
asking about which micro-nutrients can be applied in brinjal cultivation.,told him to apply amister or isabion @ 1ml/lit. water.
asking about the nutrient management in ridge gourd,told him to spray tracel 2 @ 2gm / l of water
asking about kissan credit card,give him details
query regarding micronutrient in rice,advised to apply multiplex paddy special @ 4gm/lit
problem of mycoplasma in arecanut.,advised him to apply phorat or thimet g @ 2 gm /liter of water in a polythin bag which have a hole .
"asking about the fertilizer dozes for citrus apply urea-100gm, ssp-100gm, mop-50gm, and borax-25gm along with compost, 1ft away from the base","apply urea-100gm, ssp-100gm, mop-50gm, and borax-25gm along with compost, 1ft away from the base"
control measure of fruit drop in coconut,"apply 'urea 750 gm, ssp 1250 gm, mop 900 gm, borux 25 gm and cowdung 15 kg' per plant in ring method"
asking about the name of veg to be done now,"suggested him jika, tiyah, komora bhendi adi"
asking about address for soil testing,"contact programme coordinator dr pradip handique 9613856696 , kvk sivsagar"
asking about the fertilizer doses in lemon,"told him to apply 300gm urea , 250 gm ssp , 150 gm mop / plant / year .mixture should be applied leaving about 15cm-45cm space around the tree trunk and well beyond the canopy spread"
asking about productio of one plant of blackpepper,told him 5-6kg/year
asking about the cultivation practices of mustard,explain details
asking about banana treatment,spray furadon 40 gm/plant
asking about the control measure against cut worm infestation in pea.,advised him to apply malathion 5 % dust @ 3 kg per bigha.
asking about the state govt schemes to get power tiller at subsidy rate.,suggested in details regarding the  govt. schemes like-(a)chief minister's assam bikash yojana (b) through assam agricultural competitiveness project (c)through state institute of rural development.
asking about recommended variety of cucumber,"suggested about the cucumber variety like-chinese green,poinsette,aau-c-1,aau-c-2,,aau-c-3"
asking for govt subsidised scheme of agriculture,recommended him to contact office of the district agriculture officer for govt subsidised scheme of agriculture
query regarding control measures of blister blight in tea,suggested blitox @  5 gm per 10 litrs of water
asking about the control of fruit fly in ridge gourd,suggested him to spray ustaad @ 2ml/liter of water
fruit fly problem,spray confidence 555 @ 1 teaspoon per 3 litre of water
"asking about kisan credit card.
",visit district agriculture office.
asking about infection in poultry,recommended lixen powder 3-4 gm per litre of water
query regarding micronutrient for arecanut,advised to apply arecanut special @ 100gm/plant
asking for the control of thrips in chilli,recommended to spray chloropyriphos @ 2 ml per litre of water3 times at an interval of 5 days
asking about treatment of worm infestation of cow.,suggestd to administer panacur bolus150gm boli @5mg/kg body weight.
asking about cultivation practices of pumpkin,explained him in details
asking about the control of leaf hopper infestation in paddy,suggested him to spray tricel 2o ec @ 2 ml/liter of water
asking about the control-measure of maggoted wound in newly born piglet,advice him to visit the respected areas of veterinary dispensary for proper treatment
asking about ulcer disease of fish,recoomended that application of sukrena ws or cifax @500ml/bigha
query regarding kisan credit card,advised to contact with your nearest nationalized bank
fertilizer dose of arize hybrid rice,"suggested fertilizer dose as urea-2kg,dap-11kg,mop-6kg,zinc sulphate-5kg per bigha.top dressing sarkhini kua dore dibo"
asking about the control of rotting in ginger,suggest him to apply bavistin @ 2gm/litre of water.
asking about contact detail of kvk udalguri,"varieties- kahikuchi tall, mangala, mahitnagar
spacing- at first the spacing in 1st nursery bed should be 15cm x 15cm. when the plant will attain a height of 30cm transfer it to 2nd nursery bed at spacing 30cm x 30cm. then after 18 months transfer it to the main field at a spacing of 2.75m x 2.75m.
sowing time- june december"
asking for control of flower dropping problem in bitter gourd,recommended him to spray tracel-2 @ 2 gram per litre of water
micro nutrient deficiency in brinjal .,suggested to spray tracel-2  @ 2 gram / liter water.
seeking tractor on govt. subsidy scheme,advised to visit district agriculture office
asking about hispa in rice,advice him to spray tricel 20 ec @ 2ml/litres of water
wanted to know the fertilizer required for one plant,advised to use 240gram urea 200 gm super 550 gram potash and 12 kg fym per plant
fertilizer dose for potato,"urea- 19kg, ssp- 45kg, mop- 12kg and compost- 2qtl"
asking about control measure of swarming caterpillar,recommended that application of ustaad @5ml/lit for spraying
asking about the fertilizer doses in coconut,"suggested him to apply urea-150gm, ssp-250gm, mop-175gm"
asking about the fertilizer dose of coconut,"recommended to apply urea- 750 gm/plant, ssp- 1250 gm/plant, potash- 900 gm/plant, borax- 50 gm/plant"
asking about seed treatment potato seed rate,advice to treat with endofil m- 45 @ 2 g/liter of water and advice to use of 1 tone of cowdung
asking about the a.i. problem of a cow.,suggested to contact the local vety. doctor for investigation the case.
asking for the vitamin requirement of lemon,recommended to spray polymax @ 2 gm per litre of water
asking about the fungal wilt in brinjal,advice him to spray bavistin @ 2gm per litres of water
asking about control of prematured fruit drop in coconut,advice to apply 25gm borax/plant along with the fertiliser dose
asking about to controll of nematode in brinjal.,suggested him to apply nuvacron 0.5%.
query regarding pmkisan.,adhar number is not verified.
want to know regarding fertilizer application in arecanut,"advice to apply urea 150 g, ss 250 g, potash 150 g and borax 25 g per plant"
horticulture,forwarded to the expert
 query regarding    cow showing the signs of foot & mouth disease ," told him  to wash the foot with potash solution , apply dressol spray over the lesion , inject fortious & dexona as directed  "
query regarding diarrhoea of some piglet,"otrim bolus  4 nos 1/2 bolus orally , steclin bolus 4 nos 1/2 bolus orally ors 1 bottle orally as directed"
asking about the premature nut dropping from coconut,"suggest him to apply 25 gm borax  along with recommended dose of fertilizer @ 750 gm urea,1250 gm ssp and 875 gm mop/plant"
asking about  the control measure to control leaf curl disease of chilli.,suggested to apply rogor 40ec@1.5ml/liter of water.
control measures of fruit drop,advice to spray tracel 2 @ 2 gram/l water
asking about the micro nutrient management of drum stick,apply trecel  @ 2.5 gram per litre of water
problem of termite in soil.,advised him to apply malathion 5% powder @ 2 kg per bigha.
"asking about varieties and nutrient management of okra
","varieties: pusa sawani,arka anamika,parbhani kranti,panchasira
manure and fertilizer: fym @ 1 ton,urea- 14 kg, ssp- 41 kg,mop- 11 kg /bigha.half of urea and full doses of fym,ssp and mop should be applied as basal and the remaining half of urea to be topdressed at 35-40 days after sowing"
regarding pm kisan sammanidhi,pfms / bank status: correction is pending at the state
asking about the control of citrus gumosis in lemon,"pour 100gm lime in 500ml of water in one container  and 100 gm copper sulphate in 500 ml of water in another container ,pour it in one container and make a paste and applied in infected area"
query regarding piggery unit,"creep , starter/ grower/ finisher ration can be practised for piggery unit /vaccine --swine fever at the age of 2-3 month / iron injection / anthalmintic --150 mg tab for 15-20 kg body weight [ liver tonic like feroliv, hepacef, liv -52  etc ] [b- complex like vitaplex, ambiplex etc ]from time to time depending upon the type of management"
asking about treatment of mastitis in cow.,suggested to administer inflawin bolus @ 2 bolus twice daily for 5 days. along with that apply mastilep cream over the udder surface twice daily after cleaning the udder with luke warm water.
asking about feeding practices of fish,adviced to apply rice brane and moc @ 1 : 1 ratio
asking about control of bacterial leaf blight ,recommended him to  apply streptomycin @ 1g/5 lit of water spray  twice at 7 days interval
asking about the vaccination schedule against viral disease.,explain in details.
asking aboutb the micronutrient use in bean,suggested him to spray multiplex kranti @ 2ml/liter of water
asking about good varity and seed rate,"advice to sowing seeds of baruna,m 27,ts 36 etc.seed rate=1.5 kg/bigha"
asking about the control measure for stem borer in rice.,advised to spray koragen(10 ml bottle)of du pont @ 10 ml/40-45 lit of water 2 sprays at 5 days interval.
asking about pm kisan maan dhan yojana.,"told him it is a central govt. scheme. age limit of the applicant is 18-40 years. landholding should be less than 15 bighas. applicants have to give premium and after attaining 60 years, they will get rs 3000 per month. "
asking about the pm kissan maan dhan yojana,"rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details.

for further details contact vle of common service center"
control of stem rotting in king chilli,spray saaf @ 2 gm per liter of water
asking for fert application,"recommended him to apply 12 kg urea, 15 kg ssp and 11 kg mop per bigha"
query regarding kcc.,"first of all you have to download the kcc form from the official website of pm kisan, fill up the form and submit to the branch manager any one of the following commercial bank (or your account holding bank)- state bank of india, hdfc, punjab national bank, gramin vikash bank etc along with the xerox copy of your passbook, pan card, adhar card, 2 copies of passport size photo and one written certificate as you are a real farmer from your village 'gaon boha' or gram sevak. "
asking about pm kisan samman nidhi yojona,"visit common service centre with aadhaar card, pan card, bank passbook and land record (khajana receipt) for registration "
"date	rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
03 may	47.3	30.4  / 20.4	0.0  / 0.0	0.0
04 may	3.0	27.0  / 22.0	67.0  / 0	12.0
05 may	143.0	31.0  / 21.0	44.0  / 0	10.0
06 may	24.0	26.0  / 19.0	66.0  / 0	12.0
07 may	10.0	27.0  / 20.0	55.0  / 0	10.0
08 may	7.0	29.0  / 21.0	47.0  / 0	11.0","date	rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
03 may	47.3	30.4  / 20.4	0.0  / 0.0	0.0
04 may	3.0	27.0  / 22.0	67.0  / 0	12.0
05 may	143.0	31.0  / 21.0	44.0  / 0	10.0
06 may	24.0	26.0  / 19.0	66.0  / 0	12.0
07 may	10.0	27.0  / 20.0	55.0  / 0	10.0
08 may	7.0	29.0  / 21.0	47.0  / 0	11.0"
asking about vaccination,"5- 7 days = nd f1 ( 1 drop in one eys ) , 12-14 days = ibd ( 1 drop in one eye ), 21 days = nd f1 ( 1 drop in one eye )"
query regarding fertiliser application in coconut,suggested him to apply urea@1.5kg ssp2.5kg and mop@2.0kg/tree at the base of the tree at 1-1.5m
asking for cultural practices,explain briefly
asking control of soil insects in chilli cultivation,spray tricel 20 ec(chlorpyriphos 20 ec)/c.t-50 @ 2 ml per litre of water
asking about the fertilizer doses in cabbagwe,"suggested him to apply 36 kg urea ,50 kg ssp,13 kg mop /bigha +cowdung"
asking about plant protection in citrus,suggested him to apply tracel@2gm/lit in water at 10 days interval
asking about the control-measure of endoparasitic infestation in cow,advice to administer livomarc syp @50-70 ml 2 times daily
seeking subsidy scheme on fisheries,"advised to visit dist. fishery office, nagaon"
asking  for the control of powdery mildew in pumpkin,recommended to spray sulphur @2 gram per litre of water 3 times at an interval of 3 days
asking about the crop booster application in ridge gourd,"recommended to spray tracel 2,2 gram /lit water 3 times at 12 days gape."
asking about the cultural practices in watermelon,"suggested him to apply 17 kg urea,33 kg ssp,13 kg mop /bigha 
seed rate =1kg /bigha 
spacing =(row to row *plant to plant)
          (2.5m*2m)
variety=new hampshire midget,asahi yamato,pusa bedana,sugar baby,faizabadi"
query related to pm kisan,please visit your district agricultural office
asking about the cultivation practice of bannana.,explained in detials.
asking about mineral mixture,advised to give minfagold @ 30 gm per day with feed
asking about company name of hybrid seed of radish,"mhyco, syngenta, durga seed etc."
asking about pm kisan samman nidhi yojona,visit district agriculture office as your 5th installment payment stoped by state on request of districts
pod borer in cow pea,spray fluton @ 5ml/10lit of water
parasitic problem,give 1. panacure 1.5 g bolus @ 1 bolus in the morning and repeat after 21 days
micronuitrient for marigold,spray tracel @ 2gm per litre of water in marigold
asking about the fertilizer dose for mango,"application of compost 15 kg, urea 750 grams , ssp 600 grams , mop 500 grams , borax 50 per plant twice in year"
asking about the application of nutrients.,"spray mahaphal, crop booster, or tata tracel2 @2gm/l water as nutrients."
asking about scheme for mushroom,told him currently there is no scheme for mushroom cultivation
want to know regarding spacing of cabbage and cauliflower,advice to sowe the seeds in spacing of 30 cm row to row and 25 cm plant to plant
mosaic problem in tomato,spray rogor @ 2ml/litre of water
asking about control measure of root rot,suggested to spray saaf @ 2 g per lit of water
control measure of red rot problem in sugarcane,spray bavistin @ 1gm/litre of water
query regarding application of nutrient.,advise to apply nutrient 2-3 days before sowing.
asking about ridge gourd query,recommended that application of blytox@2gm/lit of water
asking about calcium suppliment for ducklings.,suggested to administer ostovet twice daily by mixing with feed.
asking about the cultural practices of brinjal,"advice him to apply urea 15 kg, ssp 45kg ,mop 11 kg borax ,1.5 kg"
asking about pig rearing,"advised to visit college of veterinary science ,khanapara guwahati 781022 at the livestock production and management department for details information"
asking for control of fruit fly,recommended him to spray malathion 50 ec @ 2 ml per litre of water with 1% jaggery
asking about the control of bacterial leaf blight in paddy.,told him to apply cristocycline @ 1 g per 5 liters of water at an interval of 7 days for 3 times.
asking about the micronutrient use in mustard,suggested him to spray multiplex mustard special 2 2ml/liter of water
control of stem rot in brinjal,spray blitox 50 @ 2 gm per liter of water
asking about pm kisan samman nidhi yojona,your fto is generated for the 8th installment and payment confirmation is pending. it will be credited soon
rice pest,suggested him to use darsban 20ec@2ml/l water
agril related query,transfered to expert
control of fruit drop in papaya,spray dk-4 @ 4 ml / 15 litres of water
asking about prophylactic  measure of eus and argulus infection,"suggested to go for control 1. physical method: remove the rotten portions from the spear and the two adjacent leaves.
2.chemical method : pour fungicide solution of  sitara (hexaconazole) - @ 2ml  in 300ml water per palm to the base of spindle leaf. 2-3 rounds of spraying are sufficient in case of mild infection."
asking about cultural practices of turmeric,explained him in details
soil testing & about sali rice variety,"suggested to visit kvk magaldoi for soil testing, and suggested varieties as ranjit/bahadur/ piolee/ moniram go for any of this suitable varieties"
asking about use of micro nutrient in paddy,suggested to apply paddy special@ 2kg/bigha
